Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1669564859,2022-11-27T16:00:59Z,FDB1715,"25.264109,55.341686",0,2,30
1669564888,2022-11-27T16:01:28Z,FDB1715,"25.263863,55.341557",0,1,47
1669564921,2022-11-27T16:02:01Z,FDB1715,"25.263748,55.341335",0,2,90
1669564944,2022-11-27T16:02:24Z,FDB1715,"25.263748,55.341129",0,1,115
1669564972,2022-11-27T16:02:52Z,FDB1715,"25.263853,55.340919",0,1,123
1669565012,2022-11-27T16:03:32Z,FDB1715,"25.263969,55.340714",0,1,120
1669565155,2022-11-27T16:05:55Z,FDB1715,"25.263737,55.341297",0,0,120
1669565188,2022-11-27T16:06:28Z,FDB1715,"25.263966,55.340717",0,0,120
1669565199,2022-11-27T16:06:39Z,FDB1715,"25.263725,55.341141",0,9,123
1669565215,2022-11-27T16:06:55Z,FDB1715,"25.263016,55.341595",0,13,174
1669565220,2022-11-27T16:07:00Z,FDB1715,"25.262735,55.341709",0,13,149
1669565224,2022-11-27T16:07:04Z,FDB1715,"25.262592,55.341911",0,13,126
1669565232,2022-11-27T16:07:12Z,FDB1715,"25.262306,55.342407",0,14,120
1669565250,2022-11-27T16:07:30Z,FDB1715,"25.261654,55.343601",0,15,120
1669565253,2022-11-27T16:07:33Z,FDB1715,"25.261539,55.343807",0,16,120
1669565259,2022-11-27T16:07:39Z,FDB1715,"25.261316,55.344212",0,16,120
1669565267,2022-11-27T16:07:47Z,FDB1715,"25.260979,55.344799",0,17,120
1669565311,2022-11-27T16:08:31Z,FDB1715,"25.261932,55.347607",0,19,36
1669565332,2022-11-27T16:08:52Z,FDB1715,"25.263283,55.348591",0,12,50
1669565341,2022-11-27T16:09:01Z,FDB1715,"25.263325,55.349148",0,13,106
1669565348,2022-11-27T16:09:08Z,FDB1715,"25.263096,55.349567",0,13,120
1669565353,2022-11-27T16:09:13Z,FDB1715,"25.262922,55.349873",0,14,123
1669565379,2022-11-27T16:09:39Z,FDB1715,"25.261791,55.351906",0,24,120
1669565389,2022-11-27T16:09:49Z,FDB1715,"25.261141,55.353085",0,27,120
1669565397,2022-11-27T16:09:57Z,FDB1715,"25.260571,55.354095",0,28,120
1669565413,2022-11-27T16:10:13Z,FDB1715,"25.259501,55.356041",0,29,120
1669565419,2022-11-27T16:10:19Z,FDB1715,"25.259035,55.356869",0,29,120
1669565429,2022-11-27T16:10:29Z,FDB1715,"25.258301,55.3582",0,30,120
1669565439,2022-11-27T16:10:39Z,FDB1715,"25.25758,55.359512",0,29,120
1669565444,2022-11-27T16:10:44Z,FDB1715,"25.257202,55.360195",0,29,120
1669565452,2022-11-27T16:10:52Z,FDB1715,"25.256607,55.361252",0,30,120
1669565460,2022-11-27T16:11:00Z,FDB1715,"25.256001,55.362347",0,30,120
1669565466,2022-11-27T16:11:06Z,FDB1715,"25.255543,55.363167",0,30,120
1669565475,2022-11-27T16:11:15Z,FDB1715,"25.254927,55.364304",0,30,120
1669565483,2022-11-27T16:11:23Z,FDB1715,"25.254364,55.365307",0,30,120
1669565511,2022-11-27T16:11:51Z,FDB1715,"25.252342,55.368969",0,30,120
1669565519,2022-11-27T16:11:59Z,FDB1715,"25.25172,55.370075",0,31,120
1669565529,2022-11-27T16:12:09Z,FDB1715,"25.251017,55.371342",0,28,120
1669565538,2022-11-27T16:12:18Z,FDB1715,"25.250393,55.372478",0,28,120
1669565544,2022-11-27T16:12:24Z,FDB1715,"25.249901,55.373371",0,29,120
1669565551,2022-11-27T16:12:31Z,FDB1715,"25.249456,55.374165",0,29,120
1669565557,2022-11-27T16:12:37Z,FDB1715,"25.24898,55.375008",0,29,120
1669565566,2022-11-27T16:12:46Z,FDB1715,"25.248375,55.376095",0,29,120
1669565584,2022-11-27T16:13:04Z,FDB1715,"25.247131,55.378353",0,26,120
1669565591,2022-11-27T16:13:11Z,FDB1715,"25.246792,55.378971",0,16,118
1669565594,2022-11-27T16:13:14Z,FDB1715,"25.246731,55.379181",0,13,101
1669565599,2022-11-27T16:13:19Z,FDB1715,"25.246769,55.37949",0,13,73
1669565622,2022-11-27T16:13:42Z,FDB1715,"25.247768,55.380241",0,11,30
1669565743,2022-11-27T16:15:43Z,FDB1715,"25.248768,55.37904",0,38,300
1669565792,2022-11-27T16:16:32Z,FDB1715,"25.263748,55.351971",300,188,301
1669565799,2022-11-27T16:16:39Z,FDB1715,"25.267731,55.344696",550,191,301
1669565806,2022-11-27T16:16:46Z,FDB1715,"25.270523,55.339661",850,192,301
1669565812,2022-11-27T16:16:52Z,FDB1715,"25.274002,55.333405",1075,193,301
1669565818,2022-11-27T16:16:58Z,FDB1715,"25.276108,55.32959",1275,194,301
1669565823,2022-11-27T16:17:03Z,FDB1715,"25.278749,55.324867",1400,197,301
