Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1669513196,2022-11-27T01:39:56Z,UZB101,"41.261936,69.268814",0,0,16
1669513296,2022-11-27T01:41:36Z,UZB101,"41.261726,69.268661",0,1,357
1669513322,2022-11-27T01:42:02Z,UZB101,"41.261517,69.268631",0,2,340
1669513347,2022-11-27T01:42:27Z,UZB101,"41.261307,69.268692",0,2,334
1669513371,2022-11-27T01:42:51Z,UZB101,"41.261101,69.268814",0,2,345
1669513397,2022-11-27T01:43:17Z,UZB101,"41.260895,69.26889",0,1,28
1669513450,2022-11-27T01:44:10Z,UZB101,"41.26088,69.269096",0,2,59
1669513467,2022-11-27T01:44:27Z,UZB101,"41.260895,69.269302",0,2,73
1669513485,2022-11-27T01:44:45Z,UZB101,"41.260906,69.269531",0,2,78
1669513501,2022-11-27T01:45:01Z,UZB101,"41.260914,69.269737",0,2,81
1669513514,2022-11-27T01:45:14Z,UZB101,"41.260929,69.269943",0,2,78
1669513530,2022-11-27T01:45:30Z,UZB101,"41.260948,69.270157",0,2,75
1669513544,2022-11-27T01:45:44Z,UZB101,"41.260994,69.270363",0,2,70
1669513562,2022-11-27T01:46:02Z,UZB101,"41.261055,69.270569",0,2,64
1669513853,2022-11-27T01:50:53Z,UZB101,"41.261124,69.270798",0,2,64
1669513867,2022-11-27T01:51:07Z,UZB101,"41.261204,69.271027",0,3,61
1669513876,2022-11-27T01:51:16Z,UZB101,"41.261261,69.271233",0,5,61
1669513882,2022-11-27T01:51:22Z,UZB101,"41.261284,69.271454",0,6,73
1669513888,2022-11-27T01:51:28Z,UZB101,"41.261227,69.271683",0,7,98
1669513895,2022-11-27T01:51:35Z,UZB101,"41.261097,69.271904",0,7,120
1669513900,2022-11-27T01:51:40Z,UZB101,"41.260925,69.27211",0,9,129
1669513906,2022-11-27T01:51:46Z,UZB101,"41.260704,69.272369",0,11,135
1669513912,2022-11-27T01:51:52Z,UZB101,"41.260483,69.272606",0,12,135
1669513917,2022-11-27T01:51:57Z,UZB101,"41.260273,69.272842",0,12,135
1669513923,2022-11-27T01:52:03Z,UZB101,"41.260006,69.273155",0,12,135
1669513928,2022-11-27T01:52:08Z,UZB101,"41.259785,69.273407",0,12,132
1669513935,2022-11-27T01:52:15Z,UZB101,"41.259518,69.273727",0,13,132
1669513941,2022-11-27T01:52:21Z,UZB101,"41.259224,69.274086",0,13,132
1669513946,2022-11-27T01:52:26Z,UZB101,"41.258961,69.274384",0,13,132
1669513953,2022-11-27T01:52:33Z,UZB101,"41.258698,69.274704",0,12,132
1669513958,2022-11-27T01:52:38Z,UZB101,"41.258492,69.274918",0,10,137
1669513963,2022-11-27T01:52:43Z,UZB101,"41.258274,69.275009",0,10,154
1669513968,2022-11-27T01:52:48Z,UZB101,"41.258072,69.274994",0,9,177
1669513974,2022-11-27T01:52:54Z,UZB101,"41.257862,69.274811",0,10,208
1669513979,2022-11-27T01:52:59Z,UZB101,"41.257771,69.274513",0,11,239
1669513982,2022-11-27T01:53:02Z,UZB101,"41.257736,69.274261",0,12,250
1669513985,2022-11-27T01:53:05Z,UZB101,"41.257713,69.274025",0,13,255
1669513988,2022-11-27T01:53:08Z,UZB101,"41.257679,69.273743",0,14,255
1669513991,2022-11-27T01:53:11Z,UZB101,"41.257645,69.273453",0,15,255
1669513994,2022-11-27T01:53:14Z,UZB101,"41.257618,69.273186",0,16,255
1669513996,2022-11-27T01:53:16Z,UZB101,"41.257595,69.272964",0,17,255
1669513999,2022-11-27T01:53:19Z,UZB101,"41.257561,69.272728",0,18,255
1669514005,2022-11-27T01:53:25Z,UZB101,"41.257473,69.271957",0,20,255
1669514011,2022-11-27T01:53:31Z,UZB101,"41.257374,69.271049",0,23,255
1669514019,2022-11-27T01:53:39Z,UZB101,"41.257259,69.270004",0,24,255
1669514025,2022-11-27T01:53:45Z,UZB101,"41.257141,69.268951",0,25,255
1669514034,2022-11-27T01:53:54Z,UZB101,"41.257015,69.267784",0,23,258
1669514036,2022-11-27T01:53:56Z,UZB101,"41.256992,69.267365",0,21,261
1669514040,2022-11-27T01:54:00Z,UZB101,"41.256977,69.266975",0,18,264
1669514042,2022-11-27T01:54:02Z,UZB101,"41.256977,69.266769",0,16,264
1669514045,2022-11-27T01:54:05Z,UZB101,"41.256966,69.266518",0,15,261
1669514047,2022-11-27T01:54:07Z,UZB101,"41.256954,69.266304",0,14,261
1669514052,2022-11-27T01:54:12Z,UZB101,"41.256912,69.265823",0,15,258
1669514057,2022-11-27T01:54:17Z,UZB101,"41.256874,69.265396",0,13,258
1669514061,2022-11-27T01:54:21Z,UZB101,"41.256855,69.265137",0,12,258
1669514066,2022-11-27T01:54:26Z,UZB101,"41.256844,69.264725",0,10,264
1669514075,2022-11-27T01:54:35Z,UZB101,"41.256775,69.264496",0,5,241
1669514084,2022-11-27T01:54:44Z,UZB101,"41.256573,69.264679",0,6,151
1669514090,2022-11-27T01:54:50Z,UZB101,"41.256607,69.2649",0,6,95
1669514098,2022-11-27T01:54:58Z,UZB101,"41.256699,69.265129",0,5,67
1669514105,2022-11-27T01:55:05Z,UZB101,"41.256721,69.26535",0,5,73
1669514111,2022-11-27T01:55:11Z,UZB101,"41.256741,69.265594",0,7,75
1669514115,2022-11-27T01:55:15Z,UZB101,"41.256763,69.265808",0,10,75
1669514121,2022-11-27T01:55:21Z,UZB101,"41.256817,69.266319",0,20,75
1669514126,2022-11-27T01:55:26Z,UZB101,"41.256947,69.267365",0,43,75
1669514127,2022-11-27T01:55:27Z,UZB101,"41.256992,69.267868",0,52,75
