Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1666093489,2022-10-18T11:44:49Z,LOT3965,"52.17675,20.966211",0,0,239
1666093535,2022-10-18T11:45:35Z,LOT3965,"52.176842,20.966415",0,3,261
1666093545,2022-10-18T11:45:45Z,LOT3965,"52.176876,20.966623",0,3,278
1666093554,2022-10-18T11:45:54Z,LOT3965,"52.176865,20.966839",0,3,300
1666093564,2022-10-18T11:46:04Z,LOT3965,"52.176796,20.967054",0,3,317
1666093583,2022-10-18T11:46:23Z,LOT3965,"52.176601,20.967293",0,3,329
1666093601,2022-10-18T11:46:41Z,LOT3965,"52.176384,20.967503",0,3,329
1666093621,2022-10-18T11:47:01Z,LOT3965,"52.176189,20.967712",0,3,281
1666093632,2022-10-18T11:47:12Z,LOT3965,"52.176155,20.967937",0,3,255
1666093645,2022-10-18T11:47:25Z,LOT3965,"52.176201,20.96817",0,2,244
1666093742,2022-10-18T11:49:02Z,LOT3965,"52.176086,20.967922",0,8,236
1666093748,2022-10-18T11:49:08Z,LOT3965,"52.175949,20.96756",0,10,236
1666093753,2022-10-18T11:49:13Z,LOT3965,"52.175808,20.967152",0,11,239
1666093759,2022-10-18T11:49:19Z,LOT3965,"52.175629,20.966682",0,12,236
1666093768,2022-10-18T11:49:28Z,LOT3965,"52.175388,20.966015",0,12,236
1666093773,2022-10-18T11:49:33Z,LOT3965,"52.175259,20.965719",0,12,230
1666093776,2022-10-18T11:49:36Z,LOT3965,"52.175083,20.965445",0,12,222
1666093780,2022-10-18T11:49:40Z,LOT3965,"52.174934,20.96517",0,12,227
1666093786,2022-10-18T11:49:46Z,LOT3965,"52.17477,20.96468",0,12,241
1666093790,2022-10-18T11:49:50Z,LOT3965,"52.174667,20.964367",0,11,241
1666093794,2022-10-18T11:49:54Z,LOT3965,"52.174599,20.964146",0,11,239
1666093798,2022-10-18T11:49:58Z,LOT3965,"52.17448,20.963877",0,10,233
1666093806,2022-10-18T11:50:06Z,LOT3965,"52.174129,20.963797",0,11,168
1666093811,2022-10-18T11:50:11Z,LOT3965,"52.173878,20.964031",0,12,149
1666093816,2022-10-18T11:50:16Z,LOT3965,"52.173637,20.964241",0,14,149
1666093820,2022-10-18T11:50:20Z,LOT3965,"52.173386,20.964464",0,15,149
1666093824,2022-10-18T11:50:24Z,LOT3965,"52.1731,20.964699",0,16,149
1666093832,2022-10-18T11:50:32Z,LOT3965,"52.172585,20.965157",0,17,151
1666093839,2022-10-18T11:50:39Z,LOT3965,"52.172058,20.965603",0,17,149
1666093846,2022-10-18T11:50:46Z,LOT3965,"52.171524,20.966093",0,18,151
1666093852,2022-10-18T11:50:52Z,LOT3965,"52.171059,20.966486",0,19,151
1666093858,2022-10-18T11:50:58Z,LOT3965,"52.170559,20.966917",0,19,151
1666093864,2022-10-18T11:51:04Z,LOT3965,"52.170094,20.967329",0,19,149
